"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,1,0,1,0,1,1,1,1,0
"2",1,1,1,1,1,1,1,1,0,0,1,1
"3",1,1,1,1,1,1,1,1,0,1,0,1
"4",0,0,0,0,1,1,1,1,0,0,1,1
"5",0,1,1,0,0,1,0,0,0,0,1,0
"6",0,0,1,1,1,0,1,1,0,1,1,1
"7",0,0,1,0,0,0,0,0,0,1,1,0
"8",0,1,1,1,1,1,1,1,1,1,1,1
"9",1,0,0,1,1,0,0,1,1,0,0,0
"10",0,1,0,1,0,0,0,0,1,0,1,0
"11",0,0,1,0,0,1,1,0,0,0,0,0
"12",1,1,1,1,0,1,0,0,1,1,1,0
"13",1,0,0,0,1,0,0,1,1,0,1,0
"14",0,1,1,1,1,1,1,0,1,1,1,1
"15",1,1,1,1,0,1,1,1,1,0,1,0
