"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,1,0,1,1,0,0,0,1,1
"2",1,1,1,1,1,1,1,1,0,1,1,0
"3",1,1,1,0,0,1,0,0,1,0,1,1
"4",1,0,1,1,0,1,0,0,1,1,1,1
"5",0,0,1,0,1,1,1,0,1,0,1,0
"6",0,1,0,0,1,0,0,1,1,0,1,0
"7",1,1,1,0,0,1,1,1,1,1,0,1
"8",1,1,0,1,1,1,1,1,0,1,1,0
"9",0,0,1,0,0,1,0,0,0,0,1,0
"10",1,1,1,1,0,1,1,0,1,1,1,1
"11",1,0,1,0,0,1,1,1,0,0,0,1
"12",0,0,1,1,1,0,1,1,0,0,1,0
"13",0,1,0,1,1,0,1,1,1,1,1,1
"14",1,0,0,1,0,0,1,0,1,1,1,1
"15",1,1,0,1,1,0,1,1,1,0,0,0
