"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",0,1,0,1,0,0,1,1,1,1,1,1
"2",1,1,0,1,0,1,1,0,0,1,1,1
"3",0,1,1,0,1,0,1,1,0,1,1,1
"4",1,1,1,0,1,0,1,1,1,1,1,0
"5",1,0,1,1,0,1,1,1,0,0,1,1
"6",0,1,1,0,1,0,0,1,0,0,1,1
"7",1,1,1,1,1,1,0,1,1,1,1,1
"8",1,1,1,1,0,1,1,1,1,0,1,1
"9",0,1,0,0,1,1,0,0,1,1,1,1
"10",0,1,1,1,0,0,1,0,1,0,0,0
"11",0,1,1,1,1,1,0,0,0,1,1,0
"12",1,1,1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1,1,1
"14",0,1,1,1,0,1,0,1,0,1,1,1
"15",0,0,1,1,1,0,0,1,0,0,1,0
