"","var1","var2","var3","var4"
"1",0.565206156810746,0.913621604908258,0.809783775359392,0.781876943539828
"2",0.1469672517851,0.0350229116156697,0.980554191628471,0.54434208269231
"3",0.877438418567181,0.145237612072378,0.41580627229996,0.44922253023833
"4",0.582120018079877,0.712591955671087,0.048577235545963,0.978108338313177
"5",0.34425218263641,0.757087961770594,0.43160537793301,0.1269906910602
"6",0.833960852120072,0.593654938274994,0.990153910126537,0.580942411907017
"7",0.985507920617238,0.164879287825897,0.287866761442274,0.165600498206913
"8",0.00673924083821476,0.54006622848101,0.506326960865408,0.845863796770573
"9",0.577333090361208,0.389959575375542,0.290726733626798,0.0972002448979765
"10",0.850866711698472,0.00660993973724544,0.0983283745590597,0.0111597506329417
"11",0.688384926179424,0.587529827840626,0.60576221277006,0.0875936602242291
"12",0.00824983837082982,0.223978882655501,0.387664381880313,0.0741976927965879
"13",0.195990672102198,0.51622606581077,0.16877254913561,0.829941370990127
"14",0.620626421179622,0.890627287793905,0.0631241798400879,0.486289206659421
"15",0.203368527116254,0.619004046311602,0.511031229281798,0.189543261192739
