"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,0,0,0,1,1,1,1,1,1,1,1
"2",1,1,1,1,0,0,0,0,0,0,1,0
"3",1,1,1,1,0,0,1,0,1,1,1,1
"4",1,1,1,1,0,1,0,1,0,0,1,0
"5",0,0,1,0,0,0,1,0,0,0,0,0
"6",0,1,0,1,1,1,1,0,1,0,0,1
"7",1,1,1,0,0,1,1,1,0,0,0,0
"8",1,1,1,1,0,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1
"10",0,1,0,0,0,0,1,1,0,1,0,1
"11",1,1,1,1,0,1,1,1,0,1,0,1
"12",1,1,0,1,1,1,0,1,1,0,1,1
"13",0,0,0,0,0,1,1,1,1,1,0,1
"14",0,1,1,1,1,1,0,1,1,0,1,1
"15",1,1,0,1,1,1,1,1,0,0,0,0
