"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",0,1,0,0,0,1,0,0,0,0,1,0
"2",1,1,0,1,0,1,0,1,1,1,0,0
"3",1,1,1,1,1,1,0,0,1,0,1,1
"4",1,0,0,1,0,1,1,1,0,1,1,1
"5",0,0,1,0,1,1,1,1,1,1,0,1
"6",1,1,1,1,1,1,1,1,1,1,1,1
"7",0,1,1,0,0,0,0,0,0,0,1,1
"8",1,1,1,1,0,1,1,0,0,0,0,1
"9",1,1,0,1,1,0,0,0,0,1,0,1
"10",0,1,0,0,1,0,1,1,0,0,1,0
"11",0,0,0,0,0,1,1,0,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1,1,1
"13",0,0,1,1,1,1,1,0,0,0,0,0
"14",0,1,0,0,1,0,1,0,0,0,1,1
"15",0,0,1,0,1,1,1,1,1,1,1,1
