"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,1,1,1,1,1,1,1,1,0
"2",0,0,1,0,1,1,0,1,0,1,0,1
"3",1,0,1,1,1,1,1,1,1,0,1,1
"4",1,1,1,1,0,1,1,0,1,1,1,1
"5",1,0,0,0,0,0,1,0,1,1,1,1
"6",1,1,1,1,1,0,0,1,0,1,1,0
"7",1,0,0,0,0,0,1,0,1,1,0,1
"8",0,1,1,1,0,1,1,1,0,1,1,0
"9",1,1,1,1,1,1,0,1,0,1,1,1
"10",1,1,0,1,0,0,0,0,0,0,1,1
"11",1,1,0,1,1,1,0,1,0,0,1,1
"12",1,0,1,0,0,1,1,0,1,1,0,1
"13",1,0,1,0,0,1,0,0,0,0,0,1
"14",0,1,1,1,0,0,1,1,1,0,1,1
"15",1,0,1,0,1,0,1,0,0,1,0,0
