"","var1","var2","var3","var4"
"1",0.710322446655482,0.364514516666532,0.423108730930835,0.918997925473377
"2",0.246137301670387,0.357412851415575,0.405209970194846,0.147916727000847
"3",0.389634444611147,0.591457054251805,0.918707702541724,0.329127081669867
"4",0.0913836725521833,0.865451460238546,0.808760288404301,0.732431716984138
"5",0.962064544670284,0.680523660033941,0.540091111091897,0.680624942760915
"6",0.0109333300497383,0.137066549854353,0.107285798760131,0.559363053413108
"7",0.574295177590102,0.546948876231909,0.45444498048164,0.397824932588264
"8",0.764397989492863,0.677913047838956,0.0519664774183184,0.0722389568109065
"9",0.873382309218869,0.528081465279683,0.758730647154152,0.997841808479279
"10",0.0410633541177958,0.0867592855356634,0.083812048425898,0.0213289696257561
"11",0.661121600540355,0.619990534381941,0.603548459010199,0.454038937343284
"12",0.878370850346982,0.0317248448263854,0.229950409382582,0.14526543719694
"13",0.890559029532596,0.461412720382214,0.966833246871829,0.341002479894087
"14",0.566280465573072,0.330020915484056,0.604554726276547,0.233262811088935
"15",0.593547344440594,0.633520768489689,0.639604713302106,0.0971362835261971
